Timestamp,Symbol,Side,Price,Quantity,PnL
109,BTCUSDT,BUY,95767.3,0.01,2.0363
110,BTCUSDT,BUY,96728.6,0.01,9.6133
111,BTCUSDT,BUY,96891,0.01,1.6234
112,BTCUSDT,BUY,96908.3,0.01,0.1729
113,BTCUSDT,BUY,97405,0.01,4.9677
114,BTCUSDT,SELL,97306.8,0.01,0.9826
115,BTCUSDT,BUY,97710.2,0.01,4.0345
116,BTCUSDT,SELL,97576.5,0.01,1.3373
117,BTCUSDT,BUY,97759.3,0.01,1.8283
118,BTCUSDT,BUY,97794.4,0.01,0.3512
119,BTCUSDT,SELL,97359.5,0.01,4.3496
120,BTCUSDT,BUY,98236.9,0.01,8.7739
121,BTCUSDT,SELL,97363,0.01,8.7388
122,BTCUSDT,SELL,97030.7,0.01,3.3228
123,BTCUSDT,BUY,97285.8,0.01,2.5506
124,BTCUSDT,BUY,97491.8,0.01,2.0604
125,BTCUSDT,SELL,97471.9,0.01,0.1997
126,BTCUSDT,SELL,97358.1,0.01,1.1378
127,BTCUSDT,BUY,97369.2,0.01,0.1118
128,BTCUSDT,SELL,97267.9,0.01,1.013
129,BTCUSDT,BUY,97429.2,0.01,1.6126
130,BTCUSDT,SELL,97383.3,0.01,0.4588
131,BTCUSDT,BUY,97819.6,0.01,4.3626
132,BTCUSDT,BUY,98024.4,0.01,2.0483
133,BTCUSDT,SELL,97745.4,0.01,2.7901
134,BTCUSDT,SELL,97510,0.01,2.3539
135,BTCUSDT,BUY,97680.5,0.01,1.7044
136,BTCUSDT,BUY,98426.6,0.01,7.4611
137,BTCUSDT,BUY,98435.5,0.01,0.0893
138,BTCUSDT,SELL,98348.5,0.01,0.8701
139,BTCUSDT,SELL,98193.3,0.01,1.5522
140,BTCUSDT,SELL,98008.6,0.01,1.8466
141,BTCUSDT,SELL,97961.3,0.01,0.473
142,BTCUSDT,BUY,98151.5,0.01,1.9021
143,BTCUSDT,SELL,97739.6,0.01,4.1195
144,BTCUSDT,SELL,96797.2,0.01,9.4232
145,BTCUSDT,BUY,97075.2,0.01,2.7795
146,BTCUSDT,SELL,97040.1,0.01,0.3506
147,BTCUSDT,SELL,96336.1,0.01,7.0407
148,BTCUSDT,SELL,96161.7,0.01,1.7441
149,BTCUSDT,SELL,95444,0.01,7.1766
150,BTCUSDT,SELL,95087.5,0.01,3.5647
151,BTCUSDT,BUY,95279.2,0.01,1.9163
152,BTCUSDT,BUY,96230.3,0.01,9.5114
153,BTCUSDT,SELL,95961.5,0.01,2.6877
154,BTCUSDT,SELL,95759,0.01,2.0251
155,BTCUSDT,BUY,95934,0.01,1.75
156,BTCUSDT,BUY,96180.3,0.01,2.463
157,BTCUSDT,SELL,96014,0.01,1.6632
158,BTCUSDT,SELL,95666,0.01,3.4803
159,BTCUSDT,SELL,95536.5,0.01,1.2949
160,BTCUSDT,BUY,95823.6,0.01,2.8716
161,BTCUSDT,SELL,95820.2,0.01,0.0347
162,BTCUSDT,BUY,96041.8,0.01,2.2161
163,BTCUSDT,BUY,96358.5,0.01,3.1669
164,BTCUSDT,SELL,96151.4,0.01,2.0702
165,BTCUSDT,SELL,95962.3,0.01,1.8918
166,BTCUSDT,BUY,96086.5,0.01,1.242
167,BTCUSDT,BUY,96104.8,0.01,0.1831
168,BTCUSDT,SELL,94993.5,0.01,11.1126
169,BTCUSDT,BUY,95357.5,0.01,3.6394
170,BTCUSDT,BUY,95776.6,0.01,4.1919
171,BTCUSDT,SELL,95188,0.01,5.8863
